[exp256] psnr : 29.764563117621726, min: 25.890610306833757, max: 33.31724609664351 
[exp256] psnr : 29.93619443427309, min: 26.13241300284964, max: 33.9322822251181 
[exp256] psnr : 31.780510706294343, min: 24.794463858940162, max: 35.49241278649829 
[exp256] psnr : 32.753930448838155, min: 26.81289668231185, max: 36.40897465161715 
[exp256] psnr : 29.733772769599717, min: 26.141197874141533, max: 32.998180759406154 
[exp256] psnr : 29.64229681957413, min: 25.004286299039606, max: 32.97597762090646 
[exp256] psnr : 28.698080541861607, min: 25.270635969151808, max: 31.109439831173905 
[exp256] psnr : 29.159454212085734, min: 25.94386425207345, max: 31.95684802095724 
[exp256] psnr : 20.166331668925157, min: 19.08822388911005, max: 20.906000252638357 
[exp256] psnr : 20.166331701034142, min: 19.088224474055572, max: 20.905999531523896 
[exp256] psnr : 20.166331661821168, min: 19.08822388911005, max: 20.906000252638357 
[exp256] psnr : 20.1663316867634, min: 19.08822388911005, max: 20.906000252638357 
[exp256] psnr : 29.6960151858835, min: 25.578697412076107, max: 33.29674436794826 
[exp256] psnr : 29.811376903874425, min: 25.19732144796077, max: 33.02149169728075 
[exp256] psnr : 29.72894387755842, min: 25.19732144796077, max: 33.098820529432345 
[exp256] psnr : 30.162135932644823, min: 26.032431622644353, max: 34.176985846191315 
[exp256] psnr : 30.111377283869018, min: 26.44971499541864, max: 33.9930983268808 
[exp256] psnr : 29.621401419734955, min: 25.936872879548048, max: 33.05838631222724 
[exp258] psnr : 29.608334465851705, min: 26.19096933140009, max: 32.90068819718635 
[exp256] psnr : 28.778265279100246, min: 24.905763827896532, max: 30.64346431357819 
[exp256] psnr : 28.583387595844282, min: 25.112328332825648, max: 31.759732629255165 
[exp256] psnr : 28.64931507076961, min: 25.12736060298817, max: 31.867092730124433 
[exp256] psnr : 28.690042605734426, min: 25.149443658723413, max: 31.856004314997698 
[exp256] psnr : 28.832757690227947, min: 25.212800020797253, max: 32.091476858610605 
[exp258] psnr : 28.77615897947904, min: 25.308937036967457, max: 32.13402499517016 
[exp258] psnr : 28.883217171778277, min: 24.95817713233114, max: 32.039923934910846 
[exp258] psnr : 39.815887476553854, min: 38.06872438202959, max: 41.39588928656735 
[exp256] psnr : 39.753176816491695, min: 38.060614464773565, max: 41.32526346891368 
[exp256] psnr : 39.75746820606875, min: 38.04408588667744, max: 41.34606398993899 
[exp256] psnr : 39.74748603454128, min: 37.96448628213395, max: 41.63178992469152 
[exp256] psnr : 39.74066570004633, min: 37.93363443980107, max: 41.619132219954054 
[exp256] psnr : 39.73507406444366, min: 37.97785776091334, max: 41.60654941110165 
[exp256] psnr : 39.77248276891888, min: 37.95695475796257, max: 41.6514253625595 
[exp256] psnr : 39.74438673273111, min: 37.86050118774784, max: 41.6351794727463 
[exp256] psnr : 39.755205770737405, min: 37.94329036374487, max: 41.44204242347129 
[exp256] psnr : 39.50013969557541, min: 38.06835094218336, max: 41.02638252905518 
[exp256] psnr : 39.72409749459905, min: 37.819354564001166, max: 41.41859253935526 
[exp256] psnr : 39.72464861307637, min: 37.87479525713826, max: 41.46696827252658 
[exp256] psnr : 39.718176746418294, min: 37.85117237265571, max: 41.523407284542735 
[exp256] psnr : 39.92456940086338, min: 38.02508507646339, max: 41.677022524928816 
[exp256] psnr : 39.99356383070173, min: 38.0068818591945, max: 41.84675708675621 
[exp256] psnr : 39.99364424241575, min: 37.96842265251211, max: 41.8748456237425 
[exp256] psnr : 39.989375384144715, min: 37.95555005016554, max: 41.89628553008462 
[exp256] psnr : 39.988853011792756, min: 38.05664959596423, max: 41.80894801308468 
[exp256] psnr : 40.06790052498996, min: 38.04672398234175, max: 41.985171388895694 
[exp256] psnr : 40.07772119423635, min: 38.01257567507363, max: 42.05238210140507 
[exp256] psnr : 40.05924553002161, min: 37.9393936063441, max: 42.031521940958775 
[exp256] psnr : 40.02494149215355, min: 37.91077043343019, max: 42.001085428275005 
[exp256] psnr : 39.71127808303808, min: 37.725056011406224, max: 41.91338442112208 
[exp256] psnr : 39.71127152192076, min: 37.72500671991172, max: 41.91338442112208 
[exp256] psnr : 40.05738848658186, min: 38.15780046832994, max: 41.865473887929916 
[exp256] psnr : 40.07087209598278, min: 38.16937675376059, max: 41.914106200767726 
[exp256] psnr : 40.0708786293667, min: 38.1349904553931, max: 41.94121806865588 
[exp256] psnr : 40.0680082154074, min: 38.10350265911425, max: 41.999471479302386 
[exp256] psnr : 40.03383029419767, min: 38.043272363995165, max: 41.990399306622194 
